a,b,c,d,e,f,g,h,i,k
2850.0111,6.0111,9.0111,0.0111,0.0111,4858.0111,210.0111,223.0111,151.0111,4548.0111
2628.0111,30.0111,10.0111,240.0111,19.0111,960.0111,217.0111,218.0111,136.0111,5645.0111
2864.0111,118.0111,18.0111,201.0111,74.0111,4567.0111,248.0111,221.0111,93.0111,4849.0111
2827.0111,160.0111,28.0111,134.0111,65.0111,3948.0111,235.0111,233.0111,108.0111,5474.0111
2529.0111,326.0111,5.0111,30.0111,14.0111,1062.0111,207.0111,234.0111,166.0111,5047.0111
2808.0111,99.0111,7.0111,382.0111,95.0111,3107.0111,233.0111,230.0111,130.0111,6341.0111
2840.0111,153.0111,26.0111,134.0111,42.0111,4613.0111,241.0111,231.0111,102.0111,4833.0111
2795.0111,79.0111,10.0111,531.0111,96.0111,2980.0111,233.0111,223.0111,121.0111,6497.0111
2746.0111,143.0111,16.0111,67.0111,22.0111,2440.0111,241.0111,235.0111,119.0111,6597.0111
2847.0111,352.0111,26.0111,150.0111,82.0111,3697.0111,166.0111,187.0111,152.0111,5796.0111
2840.0111,14.0111,14.0111,216.0111,88.0111,3552.0111,206.0111,210.0111,140.0111,5944.0111
2537.0111,42.0111,7.0111,210.0111,17.0111,1132.0111,222.0111,224.0111,137.0111,4919.0111
2860.0111,358.0111,17.0111,175.0111,98.0111,3705.0111,191.0111,206.0111,151.0111,5800.0111
2818.0111,332.0111,26.0111,30.0111,17.0111,4526.0111,151.0111,197.0111,181.0111,4978.0111
2801.0111,18.0111,7.0111,560.0111,58.0111,3084.0111,215.0111,226.0111,148.0111,6457.0111
2791.0111,63.0111,10.0111,418.0111,48.0111,2942.0111,229.0111,221.0111,124.0111,6606.0111
2745.0111,306.0111,11.0111,67.0111,24.0111,2416.0111,190.0111,234.0111,184.0111,6428.0111
2514.0111,102.0111,6.0111,272.0111,-5.0111,1082.0111,230.0111,233.0111,137.0111,4811.0111
2788.0111,13.0111,16.0111,30.0111,8.0111,4126.0111,203.0111,206.0111,137.0111,5396.0111
2562.0111,354.0111,12.0111,67.0111,9.0111,1057.0111,200.0111,218.0111,156.0111,5031.0111
3073.0111,173.0111,12.0111,108.0111,-3.0111,6836.0111,227.0111,246.0111,149.0111,2735.0111
2978.0111,71.0111,10.0111,426.0111,85.0111,5742.0111,231.0111,221.0111,121.0111,3792.0111
2860.0111,31.0111,10.0111,295.0111,98.0111,3644.0111,218.0111,218.0111,135.0111,5904.0111
3067.0111,164.0111,11.0111,85.0111,7.0111,6811.0111,230.0111,243.0111,144.0111,2774.0111
2804.0111,72.0111,5.0111,543.0111,61.0111,3115.0111,225.0111,231.0111,141.0111,6471.0111
2562.0111,59.0111,3.0111,0.0111,0.0111,1116.0111,221.0111,233.0111,148.0111,5091.0111
2567.0111,34.0111,9.0111,190.0111,16.0111,1136.0111,219.0111,221.0111,138.0111,4924.0111
2998.0111,45.0111,8.0111,351.0111,16.0111,5842.0111,223.0111,222.0111,134.0111,3721.0111
2684.0111,84.0111,12.0111,150.0111,2.0111,1677.0111,237.0111,220.0111,113.0111,5693.0111
2676.0111,42.0111,11.0111,150.0111,-5.0111,1634.0111,222.0111,216.0111,128.0111,5655.0111
2863.0111,102.0111,15.0111,190.0111,71.0111,4389.0111,244.0111,219.0111,100.0111,5184.0111
2574.0111,170.0111,5.0111,170.0111,23.0111,1180.0111,224.0111,242.0111,153.0111,4910.0111
2511.0111,211.0111,6.0111,162.0111,30.0111,1071.0111,216.0111,245.0111,166.0111,4660.0111
3067.0111,32.0111,4.0111,30.0111,-2.0111,6679.0111,219.0111,230.0111,147.0111,2947.0111
2909.0111,57.0111,16.0111,134.0111,23.0111,5502.0111,229.0111,203.0111,102.0111,4084.0111
2863.0111,348.0111,14.0111,309.0111,89.0111,3918.0111,193.0111,216.0111,161.0111,5695.0111
2567.0111,333.0111,1.0111,0.0111,0.0111,1266.0111,216.0111,237.0111,158.0111,5079.0111
3182.0111,105.0111,11.0111,408.0111,33.0111,6000.0111,240.0111,226.0111,115.0111,1184.0111
2818.0111,324.0111,12.0111,242.0111,26.0111,4156.0111,189.0111,227.0111,177.0111,5467.0111
2752.0111,332.0111,6.0111,342.0111,24.0111,2372.0111,207.0111,233.0111,165.0111,6131.0111
2751.0111,88.0111,5.0111,400.0111,30.0111,2322.0111,228.0111,231.0111,137.0111,6088.0111
2569.0111,102.0111,7.0111,228.0111,18.0111,1266.0111,232.0111,231.0111,132.0111,4844.0111
3195.0111,111.0111,15.0111,469.0111,46.0111,5941.0111,245.0111,222.0111,101.0111,1206.0111
2982.0111,53.0111,14.0111,240.0111,63.0111,5756.0111,227.0111,209.0111,112.0111,3880.0111
2850.0111,58.0111,6.0111,295.0111,58.0111,4394.0111,225.0111,227.0111,137.0111,5239.0111
2586.0111,76.0111,4.0111,190.0111,30.0111,1290.0111,225.0111,232.0111,143.0111,4875.0111
2837.0111,17.0111,13.0111,330.0111,45.0111,4241.0111,208.0111,211.0111,138.0111,5428.0111
2723.0111,99.0111,6.0111,301.0111,34.0111,2109.0111,230.0111,232.0111,136.0111,5793.0111
3070.0111,0.0111,11.0111,30.0111,-6.0111,6890.0111,204.0111,220.0111,153.0111,2858.0111
3057.0111,124.0111,12.0111,150.0111,53.0111,6508.0111,240.0111,231.0111,118.0111,3211.0111
2818.0111,119.0111,19.0111,30.0111,10.0111,5213.0111,248.0111,220.0111,92.0111,4497.0111
2847.0111,320.0111,33.0111,85.0111,39.0111,4983.0111,120.0111,190.0111,199.0111,4727.0111
2606.0111,112.0111,11.0111,30.0111,4.0111,1584.0111,239.0111,228.0111,119.0111,5106.0111
2893.0111,83.0111,6.0111,551.0111,101.0111,4011.0111,229.0111,230.0111,135.0111,5755.0111
2716.0111,1.0111,10.0111,234.0111,27.0111,2100.0111,206.0111,222.0111,153.0111,5581.0111
2644.0111,125.0111,20.0111,67.0111,25.0111,1719.0111,249.0111,221.0111,90.0111,5168.0111
2613.0111,37.0111,5.0111,216.0111,34.0111,1519.0111,220.0111,229.0111,146.0111,4818.0111
2929.0111,356.0111,12.0111,0.0111,0.0111,5757.0111,201.0111,219.0111,155.0111,4017.0111
2767.0111,307.0111,12.0111,30.0111,8.0111,2796.0111,187.0111,233.0111,186.0111,6192.0111
2991.0111,49.0111,13.0111,85.0111,0.0111,6199.0111,225.0111,211.0111,117.0111,3613.0111
2939.0111,56.0111,18.0111,95.0111,20.0111,5563.0111,229.0111,200.0111,98.0111,4224.0111
2537.0111,7.0111,12.0111,0.0111,0.0111,1583.0111,205.0111,216.0111,148.0111,4509.0111
3119.0111,119.0111,7.0111,162.0111,10.0111,6660.0111,233.0111,234.0111,133.0111,2556.0111
2942.0111,346.0111,12.0111,30.0111,3.0111,5918.0111,197.0111,221.0111,162.0111,3900.0111
2886.0111,12.0111,7.0111,570.0111,94.0111,4295.0111,213.0111,226.0111,150.0111,5518.0111
2775.0111,344.0111,13.0111,42.0111,7.0111,2854.0111,194.0111,219.0111,164.0111,6177.0111
2490.0111,79.0111,9.0111,240.0111,13.0111,878.0111,232.0111,224.0111,124.0111,4184.0111
3106.0111,228.0111,18.0111,658.0111,108.0111,5984.0111,191.0111,254.0111,196.0111,1655.0111
2831.0111,284.0111,24.0111,60.0111,23.0111,5208.0111,145.0111,232.0111,222.0111,4611.0111
2837.0111,112.0111,8.0111,272.0111,16.0111,3649.0111,235.0111,231.0111,128.0111,6221.0111
2890.0111,299.0111,23.0111,180.0111,79.0111,5104.0111,150.0111,224.0111,212.0111,4734.0111
2824.0111,135.0111,5.0111,218.0111,6.0111,3583.0111,227.0111,238.0111,144.0111,6316.0111
2728.0111,135.0111,3.0111,242.0111,32.0111,2250.0111,224.0111,238.0111,150.0111,5515.0111
2962.0111,88.0111,16.0111,190.0111,23.0111,6095.0111,242.0111,212.0111,95.0111,3811.0111
3142.0111,220.0111,11.0111,424.0111,69.0111,6216.0111,207.0111,251.0111,179.0111,1989.0111
2847.0111,2.0111,6.0111,175.0111,10.0111,3757.0111,212.0111,229.0111,154.0111,6194.0111
2536.0111,34.0111,5.0111,242.0111,16.0111,1242.0111,219.0111,228.0111,146.0111,4201.0111
3168.0111,95.0111,6.0111,30.0111,0.0111,4884.0111,229.0111,231.0111,136.0111,1239.0111
2926.0111,289.0111,24.0111,210.0111,99.0111,5126.0111,145.0111,228.0111,220.0111,4814.0111
2893.0111,21.0111,6.0111,295.0111,36.0111,4106.0111,216.0111,227.0111,148.0111,5865.0111
2687.0111,20.0111,11.0111,150.0111,39.0111,1986.0111,212.0111,217.0111,140.0111,4936.0111
3109.0111,211.0111,17.0111,424.0111,55.0111,6089.0111,204.0111,254.0111,181.0111,2017.0111
3119.0111,200.0111,20.0111,60.0111,0.0111,6297.0111,208.0111,253.0111,172.0111,2377.0111
2916.0111,349.0111,10.0111,488.0111,36.0111,4472.0111,202.0111,223.0111,160.0111,5502.0111
2795.0111,18.0111,3.0111,218.0111,17.0111,3042.0111,217.0111,233.0111,153.0111,6073.0111
2555.0111,58.0111,14.0111,285.0111,19.0111,1231.0111,230.0111,209.0111,109.0111,4159.0111
2499.0111,42.0111,13.0111,497.0111,-7.0111,953.0111,222.0111,212.0111,123.0111,3950.0111
3027.0111,173.0111,11.0111,335.0111,42.0111,5678.0111,227.0111,245.0111,149.0111,1900.0111
3096.0111,160.0111,15.0111,85.0111,16.0111,6156.0111,234.0111,242.0111,135.0111,2310.0111
2916.0111,105.0111,13.0111,268.0111,89.0111,5618.0111,242.0111,223.0111,108.0111,4417.0111
2591.0111,42.0111,12.0111,350.0111,22.0111,1398.0111,222.0111,213.0111,125.0111,4224.0111
3185.0111,328.0111,16.0111,127.0111,13.0111,4763.0111,178.0111,219.0111,180.0111,1392.0111
3021.0111,221.0111,10.0111,324.0111,39.0111,5675.0111,208.0111,250.0111,177.0111,1937.0111
3083.0111,257.0111,4.0111,510.0111,-25.0111,6363.0111,209.0111,242.0111,171.0111,2873.0111
2860.0111,276.0111,33.0111,60.0111,33.0111,5292.0111,115.0111,226.0111,240.0111,4759.0111
3008.0111,196.0111,15.0111,228.0111,20.0111,5535.0111,215.0111,251.0111,166.0111,1924.0111
3034.0111,189.0111,14.0111,384.0111,66.0111,5754.0111,220.0111,250.0111,160.0111,2012.0111
2873.0111,130.0111,16.0111,67.0111,16.0111,4030.0111,244.0111,230.0111,110.0111,6091.0111
3182.0111,49.0111,13.0111,319.0111,7.0111,4767.0111,225.0111,211.0111,118.0111,1513.0111
2998.0111,102.0111,12.0111,384.0111,158.0111,6026.0111,239.0111,225.0111,114.0111,4121.0111
2658.0111,357.0111,20.0111,300.0111,54.0111,1597.0111,184.0111,199.0111,149.0111,4286.0111
3175.0111,15.0111,7.0111,366.0111,92.0111,4816.0111,214.0111,226.0111,149.0111,1584.0111
2952.0111,8.0111,7.0111,488.0111,125.0111,4953.0111,212.0111,227.0111,152.0111,5192.0111
2622.0111,95.0111,12.0111,484.0111,39.0111,1329.0111,239.0111,222.0111,112.0111,4086.0111
2955.0111,288.0111,21.0111,247.0111,128.0111,5224.0111,156.0111,233.0111,215.0111,4968.0111
2837.0111,66.0111,9.0111,201.0111,23.0111,3655.0111,229.0111,221.0111,124.0111,6341.0111
3182.0111,45.0111,3.0111,458.0111,109.0111,4723.0111,220.0111,232.0111,149.0111,1661.0111
3077.0111,129.0111,3.0111,618.0111,43.0111,6296.0111,225.0111,237.0111,147.0111,3261.0111
2755.0111,320.0111,4.0111,30.0111,-1.0111,2890.0111,209.0111,236.0111,165.0111,5468.0111
3047.0111,28.0111,11.0111,600.0111,13.0111,6414.0111,216.0111,215.0111,134.0111,3540.0111
2880.0111,86.0111,12.0111,30.0111,3.0111,4369.0111,237.0111,221.0111,113.0111,5906.0111
3221.0111,292.0111,3.0111,424.0111,49.0111,4401.0111,212.0111,238.0111,165.0111,1710.0111
3182.0111,115.0111,10.0111,553.0111,10.0111,4605.0111,237.0111,231.0111,124.0111,1768.0111
3064.0111,29.0111,24.0111,150.0111,46.0111,5051.0111,204.0111,182.0111,104.0111,2148.0111
2827.0111,332.0111,15.0111,42.0111,9.0111,3599.0111,185.0111,221.0111,174.0111,6067.0111
2518.0111,107.0111,5.0111,360.0111,39.0111,553.0111,229.0111,234.0111,139.0111,3522.0111
3050.0111,180.0111,4.0111,277.0111,-3.0111,5782.0111,221.0111,242.0111,156.0111,2721.0111
3107.0111,356.0111,12.0111,283.0111,89.0111,4855.0111,201.0111,219.0111,155.0111,2069.0111
2995.0111,173.0111,15.0111,268.0111,135.0111,6312.0111,228.0111,246.0111,146.0111,4135.0111
2721.0111,164.0111,4.0111,67.0111,-2.0111,1747.0111,224.0111,241.0111,152.0111,4191.0111
3182.0111,116.0111,7.0111,579.0111,10.0111,4425.0111,233.0111,233.0111,133.0111,1854.0111
2724.0111,132.0111,11.0111,60.0111,-2.0111,2720.0111,238.0111,234.0111,124.0111,4875.0111
2515.0111,90.0111,9.0111,313.0111,39.0111,511.0111,233.0111,227.0111,125.0111,3451.0111
3017.0111,46.0111,22.0111,212.0111,52.0111,5118.0111,221.0111,188.0111,92.0111,2352.0111
3077.0111,256.0111,4.0111,618.0111,210.0111,6230.0111,210.0111,242.0111,170.0111,3734.0111
2929.0111,338.0111,8.0111,190.0111,39.0111,4393.0111,202.0111,228.0111,165.0111,6106.0111
2735.0111,127.0111,12.0111,67.0111,6.0111,2806.0111,240.0111,232.0111,120.0111,4924.0111
2893.0111,319.0111,20.0111,150.0111,43.0111,5825.0111,164.0111,217.0111,192.0111,4667.0111
3231.0111,45.0111,4.0111,648.0111,59.0111,4173.0111,221.0111,231.0111,147.0111,1921.0111
2560.0111,89.0111,10.0111,218.0111,34.0111,731.0111,235.0111,224.0111,120.0111,3505.0111
3162.0111,43.0111,15.0111,484.0111,144.0111,4657.0111,221.0111,205.0111,115.0111,2188.0111
2982.0111,188.0111,14.0111,120.0111,-2.0111,5501.0111,220.0111,250.0111,160.0111,2750.0111
2731.0111,66.0111,5.0111,0.0111,0.0111,2826.0111,225.0111,230.0111,141.0111,4873.0111
3172.0111,50.0111,11.0111,759.0111,0.0111,4287.0111,225.0111,215.0111,123.0111,2037.0111
2916.0111,138.0111,21.0111,127.0111,49.0111,6349.0111,247.0111,227.0111,98.0111,4206.0111
2890.0111,63.0111,17.0111,153.0111,35.0111,3670.0111,233.0111,202.0111,96.0111,5757.0111
2704.0111,45.0111,10.0111,323.0111,22.0111,1323.0111,223.0111,219.0111,130.0111,3734.0111
3198.0111,23.0111,18.0111,604.0111,180.0111,4545.0111,207.0111,200.0111,124.0111,2285.0111
2985.0111,214.0111,5.0111,342.0111,63.0111,5495.0111,215.0111,245.0111,166.0111,3195.0111
3011.0111,323.0111,21.0111,443.0111,161.0111,5838.0111,164.0111,214.0111,188.0111,4910.0111
3024.0111,312.0111,18.0111,474.0111,177.0111,5785.0111,169.0111,224.0111,194.0111,4961.0111
2763.0111,7.0111,12.0111,85.0111,17.0111,2850.0111,205.0111,216.0111,148.0111,4788.0111
3244.0111,56.0111,16.0111,618.0111,76.0111,3865.0111,229.0111,204.0111,104.0111,2225.0111
2955.0111,9.0111,10.0111,85.0111,10.0111,5167.0111,209.0111,221.0111,149.0111,2819.0111
3201.0111,10.0111,13.0111,984.0111,180.0111,4136.0111,205.0111,213.0111,143.0111,2289.0111
2972.0111,36.0111,25.0111,30.0111,0.0111,5113.0111,209.0111,176.0111,90.0111,2816.0111
2985.0111,167.0111,13.0111,458.0111,66.0111,5571.0111,230.0111,244.0111,144.0111,3519.0111
2539.0111,23.0111,17.0111,90.0111,15.0111,488.0111,207.0111,201.0111,125.0111,3115.0111
3001.0111,260.0111,8.0111,720.0111,134.0111,5790.0111,200.0111,245.0111,183.0111,3903.0111
2952.0111,51.0111,10.0111,150.0111,16.0111,5123.0111,225.0111,218.0111,126.0111,2960.0111
2962.0111,211.0111,13.0111,255.0111,43.0111,5365.0111,209.0111,252.0111,177.0111,3337.0111
3004.0111,0.0111,12.0111,484.0111,85.0111,5068.0111,202.0111,217.0111,152.0111,5840.0111
2727.0111,45.0111,4.0111,124.0111,21.0111,2285.0111,221.0111,231.0111,147.0111,4245.0111
3004.0111,167.0111,17.0111,603.0111,137.0111,5798.0111,232.0111,244.0111,137.0111,4031.0111
2886.0111,22.0111,8.0111,285.0111,31.0111,3849.0111,215.0111,222.0111,144.0111,5557.0111
3024.0111,344.0111,8.0111,600.0111,105.0111,5201.0111,203.0111,227.0111,163.0111,5764.0111
3034.0111,187.0111,14.0111,335.0111,148.0111,6084.0111,221.0111,249.0111,158.0111,4921.0111
2903.0111,279.0111,13.0111,190.0111,26.0111,4179.0111,184.0111,241.0111,197.0111,5904.0111
2926.0111,245.0111,4.0111,30.0111,7.0111,5180.0111,212.0111,243.0111,169.0111,3331.0111
2942.0111,200.0111,16.0111,180.0111,23.0111,5276.0111,212.0111,252.0111,170.0111,3470.0111
2991.0111,54.0111,13.0111,495.0111,65.0111,4849.0111,227.0111,211.0111,115.0111,6214.0111
2742.0111,116.0111,9.0111,150.0111,21.0111,2475.0111,236.0111,231.0111,126.0111,4314.0111
2606.0111,356.0111,18.0111,67.0111,26.0111,911.0111,188.0111,205.0111,152.0111,3174.0111
3244.0111,326.0111,5.0111,750.0111,53.0111,3730.0111,207.0111,234.0111,166.0111,2460.0111
3237.0111,27.0111,14.0111,997.0111,36.0111,4002.0111,213.0111,210.0111,130.0111,2506.0111
2616.0111,359.0111,24.0111,42.0111,15.0111,977.0111,176.0111,187.0111,142.0111,3186.0111
2913.0111,16.0111,11.0111,457.0111,58.0111,3974.0111,211.0111,217.0111,142.0111,5568.0111
2813.0111,48.0111,7.0111,201.0111,35.0111,3018.0111,223.0111,225.0111,137.0111,4729.0111
2530.0111,149.0111,1.0111,319.0111,51.0111,234.0111,221.0111,238.0111,154.0111,2726.0111
3260.0111,45.0111,7.0111,503.0111,69.0111,3558.0111,222.0111,225.0111,138.0111,2531.0111
3047.0111,90.0111,3.0111,870.0111,128.0111,5484.0111,224.0111,234.0111,146.0111,5635.0111
2955.0111,60.0111,20.0111,201.0111,33.0111,4934.0111,231.0111,195.0111,88.0111,3248.0111
2893.0111,77.0111,13.0111,85.0111,7.0111,6012.0111,236.0111,215.0111,107.0111,4682.0111
2965.0111,38.0111,24.0111,247.0111,49.0111,4883.0111,212.0111,181.0111,92.0111,3315.0111
3037.0111,230.0111,15.0111,570.0111,151.0111,5985.0111,196.0111,252.0111,191.0111,5238.0111
3027.0111,152.0111,10.0111,792.0111,108.0111,5316.0111,233.0111,240.0111,138.0111,5912.0111
2756.0111,70.0111,16.0111,120.0111,35.0111,2501.0111,235.0111,208.0111,100.0111,4210.0111
2939.0111,325.0111,6.0111,510.0111,62.0111,4078.0111,206.0111,234.0111,167.0111,5584.0111
3198.0111,126.0111,9.0111,418.0111,23.0111,4200.0111,235.0111,234.0111,130.0111,2858.0111
3195.0111,90.0111,7.0111,362.0111,20.0111,4243.0111,231.0111,229.0111,132.0111,2880.0111
2975.0111,222.0111,6.0111,360.0111,89.0111,5719.0111,213.0111,245.0111,169.0111,4519.0111
2890.0111,84.0111,13.0111,30.0111,4.0111,5918.0111,238.0111,218.0111,108.0111,4761.0111
3018.0111,109.0111,10.0111,815.0111,132.0111,5833.0111,238.0111,229.0111,121.0111,5486.0111
3011.0111,85.0111,5.0111,842.0111,85.0111,5389.0111,228.0111,231.0111,137.0111,5975.0111
3221.0111,79.0111,16.0111,618.0111,20.0111,3968.0111,239.0111,210.0111,96.0111,2868.0111
3004.0111,135.0111,7.0111,811.0111,78.0111,5383.0111,231.0111,237.0111,138.0111,6017.0111
2572.0111,49.0111,20.0111,384.0111,53.0111,391.0111,224.0111,192.0111,94.0111,2509.0111
3260.0111,128.0111,11.0111,743.0111,46.0111,3824.0111,238.0111,233.0111,124.0111,2854.0111
3168.0111,25.0111,4.0111,30.0111,0.0111,4426.0111,218.0111,231.0111,150.0111,3180.0111
2878.0111,349.0111,12.0111,67.0111,0.0111,3489.0111,198.0111,220.0111,161.0111,4924.0111
3198.0111,9.0111,8.0111,301.0111,23.0111,4099.0111,211.0111,224.0111,150.0111,3076.0111
